VMAF,SSIM,PSNR,VIFp,MS-SSIM,PSNR-HVS,PSNR-HVS-M
74.18986775,0.925186,32.607922,0.518116,0.961974,27.549664,28.760849
60.85292181,0.889203,26.714485,0.470199,0.903785,21.679234,22.070545
50.52590024,0.848755,22.895817,0.419012,0.783902,18.094084,18.310354
49.73363392,0.84837,23.450506,0.416626,0.796413,18.520918,18.765783
52.94805807,0.861426,24.789963,0.436048,0.835953,19.637503,19.94433
49.83663863,0.839452,22.996325,0.416136,0.778948,17.97258,18.2003
51.60384307,0.853106,23.925982,0.427817,0.826825,18.851152,19.121973
50.54210018,0.837434,22.863653,0.418024,778,17.85816,18.088501
54.00986912,0.857034,24.594812,0.435779,0.847242,19.430918,19.732822
57.62653071,0.87835,26.372753,0.455588,0.896932,21.080286,21.492073
51.53588513,0.84675,23.370861,0.427166,0.802013,18.273054,18.52117
49.1840241,0.836364,22.298794,0.417883,0.755042,17.326683,17.536348
48.57853154,0.843245,22.867966,0.422238,0.774327,17.819494,18.052925
49.7099602,0.850452,23.877728,0.429097,0.818526,18.644735,18.923126
49.65158806,0.84911,23.513851,0.430875,0.797284,18.385008,18.637207
50.42986757,0.854717,23.949123,0.436715,0.809488,18.810738,19.082123
54.76769514,0.880367,26.328766,0.459156,0.889953,21.000427,21.410326
48.39789062,0.859422,24.284279,0.433715,0.815043,19.177586,19.470627
47.69075722,0.858454,24.069695,0.433023,0.814832,18.95973,19.247999
49.11414869,0.871508,24.98645,0.44801,0.853131,19.783052,20.115061
49.49890356,0.877546,25.253693,0.452948,0.86726,20.032965,20.380697
54.51534056,0.897614,26.79438,0.48007,0.911436,21.572655,22.017269
51.96355305,0.887068,25.413702,0.468961,0.882743,20.37599,20.708984
55.29799074,0.898001,26.589025,0.481591,0.910563,21.486132,21.89093
51.90633403,0.875107,24.590034,0.454372,0.869469,19.520845,19.831623
46.89683562,0.834529,22.100773,0.420294,0.789042,17.199371,17.410686
46.52777816,0.836623,22.5168,0.420624,0.801158,17.567671,17.797356
45.36959658,0.832583,21.817598,0.417948,0.785125,16.954014,17.154152
42.75127709,0.82863,21.110807,0.413163,0.772833,16.343746,16.518877
42.79551245,0.828828,21.098986,0.414942,0.772196,16.331087,16.506121
47.86058313,0.838754,21.394323,0.428748,0.797193,16.609625,16.789101
52.45025914,0.860112,22.970261,0.448166,0.850984,18.105436,18.33736
76.77381314,0.928166,32.924408,0.531338,0.970112,27.971073,29.398081
61.51454615,0.903051,26.364647,0.493724,0.930598,21.514057,21.888437
74.8597351,0.931425,33.374767,0.542163,0.97335,28.441511,30.027958
75.07175974,0.931391,33.338234,0.541098,0.973177,28.401674,29.978661
65.99522535,0.908789,25.919922,0.508171,0.90609,21.186407,21.518496
69.94798748,0.915949,24.316235,0.513166,0.940813,19.94619,20.166225
57.75610883,0.890237,27.476572,0.463443,0.90903,22.254274,22.753559
61.32809794,0.903148,28.623468,0.482575,0.931358,23.408863,24.013685
61.86330871,0.90739,29.145977,0.489299,0.941462,23.873747,24.548439
54.58897494,0.881374,26.913609,0.455283,0.901914,21.537081,21.997494
63.75773837,0.913645,30.256683,0.495878,0.950992,24.918266,25.742315
57.62427035,0.88822,27.928379,0.466711,0.920949,22.355406,22.897276
56.92119,0.88253,27.567722,0.462031,0.912159,22.038004,22.544662
64.18179758,0.913125,30.569893,0.497586,0.952685,25.278763,26.165123
65.28884421,0.915805,31.072889,0.503196,0.955727,25.828091,26.79941
67.86450425,0.923769,32.030594,0.517244,0.963195,26.900276,28.066299
